"survey","short_point_id","full_point_id","state","conservation_practice","treated","month","day","year","visit","trap type","trap n/a","Prelim ID","Insect Order","Family","Genus","Specimen ID","Sex","det","Preservation","Notes"
"ks_priv001_v1_y2024","priv001","ks_priv001","ks","prescribed_burning","post",6,5,2024,1,"bee bowl","N","none","none","none","none","none","none","none","none","NA"
"mo_priv001_v1_y2024","priv001","mo_priv001","mo","wildlife_hab_planting","post",5,30,2024,1,"bee bowl","N","none","none","none","none","none","none","none","none","NA"
"ks_priv001_v2_y2024","priv001","ks_priv001","ks","prescribed_burning","post",6,20,2024,2,"bee bowl","N","bee","Hymenoptera","Halictidae","Augochlorella","NA","female","C. Mathis 2025","mounted","NA"
"ks_priv001_v2_y2024","priv001","ks_priv001","ks","prescribed_burning","post",6,20,2024,2,"bee bowl","N","bee","Hymenoptera","Apidae","Xenoglossa","NA","female","C. Mathis 2025","mounted","NA"
"ks_priv001_v2_y2024","priv001","ks_priv001","ks","prescribed_burning","post",6,20,2024,2,"bee bowl","N","bee","Hymenoptera","Halictidae","Lasioglossum","NA","female","C. Mathis 2025","mounted","NA"
"ks_priv001_v2_y2024","priv001","ks_priv001","ks","prescribed_burning","post",6,20,2024,2,"bee bowl","N","bee","Hymenoptera","Halictidae","Lasioglossum","NA","female","C. Mathis 2025","mounted","NA"
"mo_priv001_v2_y2024","priv001","mo_priv001","mo","wildlife_hab_planting","post",6,11,2024,2,"bee bowl","N","none","none","none","none","none","none","none","none","NA"
"ks_priv001_v3_y2024","priv001","ks_priv001","ks","prescribed_burning","post",7,9,2024,3,"bee bowl","N","bee","Hymenoptera","Halictidae","Lasioglossum","NA","female","C. Mathis 2025","mounted","NA"
"ks_priv001_v3_y2024","priv001","ks_priv001","ks","prescribed_burning","post",7,9,2024,3,"bee bowl","N","bee","Hymenoptera","Andrenidae","Perdita","NA","NA","C. Mathis 2025","mounted","NA"
"mo_priv001_v3_y2024","priv001","mo_priv001","mo","wildlife_hab_planting","post",7,9,2024,3,"bee bowl","N","bee","Hymenoptera","Halictidae","Augochlora","NA","female","S. Gillies 2025","mounted","NA"
"mo_priv001_v3_y2024","priv001","mo_priv001","mo","wildlife_hab_planting","post",7,9,2024,3,"bee bowl","N","bee","Hymenoptera","Halictidae","Augochlorella","NA","female","S. Gillies 2025","mounted","NA"
