"year","survey","practice","treated","flowers","visit","observer","temp","wind","cloud","ordinal","mssr","dist1","dist2","dist3","dist4","dist5","perc_canopy","perc_tallsap","perc_shortsap","perc_tallshrub","perc_shortshrub","perc_forb","perc_tallgrass","perc_shortgrass","perc_CWD","perc_litter","perc_bare","perc_anysap","perc_anyshrub","perc_anywoody","perc_anygrass"
2024,"ks_priv022_v1_y2024","prescribed_burning",2024,2170,1,"SG",80,2,75,141,489,1,0,0,0,0,36,0,9,0,0,18,9,9,9,27,27,9,0,9,27
2024,"ks_priv021_v1_y2024","prescribed_burning",2024,38,1,"SG",82,4,100,141,551,0,0,0,0,0,0,0,0,0,0,9,0,55,0,18,82,0,0,0,55
2024,"ks_priv020_v1_y2024","prescribed_burning",2024,550,1,"SG",83,4,100,141,579,0,0,0,0,0,0,0,0,0,0,27,0,64,0,36,36,0,0,0,64
2024,"ks_priv019_v1_y2024","prescribed_burning",2024,281,1,"SG",83,2,75,141,616,1,0,0,0,0,0,0,0,0,0,45,0,45,0,9,64,0,0,0,45
2024,"ks_priv027_v1_y2024","prescribed_burning",2024,14,1,"KM",77,4,75,142,260,1,0,0,0,0,100,0,0,0,0,9,55,9,9,82,0,0,0,0,64
2024,"ks_priv024_v1_y2024","prescribed_burning",2024,274,1,"SG",65,3,0,143,267,0,1,0,0,0,0,0,0,0,0,64,0,18,0,64,9,0,0,0,18
2024,"ks_priv023_v1_y2024","prescribed_burning",2024,174,1,"SG",67,3,0,143,311,0,1,0,0,0,0,0,0,0,9,27,27,45,0,73,0,0,9,9,73
2024,"ks_priv025_v1_y2024","prescribed_burning",2024,158,1,"SG",68,2,0,143,348,0,0,0,0,0,0,0,0,0,9,18,55,27,0,45,0,0,9,9,82
2024,"ks_priv048_v1_y2024","brush_management",2024,3,1,"KM",80,2,0,144,491,1,0,0,0,0,27,0,0,0,0,91,27,27,0,55,45,0,0,0,55
2024,"ks_priv053_v1_y2024","brush_management",2024,0,1,"KM",83,2,0,144,581,0,0,0,0,0,73,0,0,0,0,73,0,0,0,91,9,0,0,0,0
2024,"ks_priv039_v1_y2024","not_enrolled_in_NRCS",2024,67,1,"SG",72,3,0,148,294,0,0,0,0,0,0,0,0,0,0,9,100,0,0,82,0,0,0,0,100
2024,"ks_priv037_v1_y2024","not_enrolled_in_NRCS",2024,12,1,"SG",75,3,0,148,343,0,0,0,0,1,0,0,0,0,0,9,0,73,0,82,27,0,0,0,73
2024,"ks_priv038_v1_y2024","not_enrolled_in_NRCS",2024,61,1,"SG",76,3,0,148,377,0,1,1,1,0,0,0,0,0,0,36,82,0,0,45,9,0,0,0,82
