"short_point_id","full_point_id","state","month","day","year","visit","observer","genus","species","flowers_or_inflorescences","flowers","stems","flowers_per_stem","Notes/Photos","common_name","survey"
"priv019","ks_priv019","ks",5,20,2024,1,"KM","Medicago","lupulina","flowers",135,"9","15","none","black medic","ks_priv019_v1_y2024"
"priv019","ks_priv019","ks",5,20,2024,1,"KM","Sisyrinchium","albidum","flowers",2,"2","1","none","whiteblue-eyedgrass","ks_priv019_v1_y2024"
"priv019","ks_priv019","ks",5,20,2024,1,"KM","Callirhoe","alcaeoides","flowers",1,"1","1","none","lightpoppymallow","ks_priv019_v1_y2024"
"priv019","ks_priv019","ks",5,20,2024,1,"KM","Thlaspi","arvense","flowers",80,"4","20","pic on karas phone 1623","fieldpennycress","ks_priv019_v1_y2024"
"priv019","ks_priv019","ks",5,20,2024,1,"KM","Descurainia","pinnata","flowers",60,"6","10","pic on karas phone 1626","westerntansymustard","ks_priv019_v1_y2024"
"priv019","ks_priv019","ks",5,20,2024,1,"KM","Ellisia","nyctelea","flowers",3,"3","1","video Kara's phone 1629","aunt lucy","ks_priv019_v1_y2024"
"priv020","ks_priv020","ks",5,20,2024,1,"KM","Medicago","lupulina","flowers",540,"27","20","none","black medic","ks_priv020_v1_y2024"
"priv020","ks_priv020","ks",5,20,2024,1,"KM","Astralagus","sp.","flowers",10,"2","5","pic on karas phone 1545","legume","ks_priv020_v1_y2024"
"priv021","ks_priv021","ks",5,20,2024,1,"KM","Callirhoe","alcaeoides","flowers",8,"8","1","none","lightpoppymallow","ks_priv021_v1_y2024"
"priv021","ks_priv021","ks",5,20,2024,1,"KM","Baptisia","australis","flowers",30,"3","10","none","tallbluewildindigo","ks_priv021_v1_y2024"
"priv022","ks_priv022","ks",5,20,2024,1,"KM","Convolvulus","arvensis","flowers",4,"2","2","none","fieldbindweed","ks_priv022_v1_y2024"
"priv022","ks_priv022","ks",5,20,2024,1,"KM","Medicago","lupulina","flowers",1540,"77","20","none","black medic","ks_priv022_v1_y2024"
"priv022","ks_priv022","ks",5,20,2024,1,"KM","Achillea","millefolium","flowers",570,"19","30","none","common yarrow","ks_priv022_v1_y2024"
"priv022","ks_priv022","ks",5,20,2024,1,"KM","Erigeron","annuus","flowers",1,"1","1","none","daisy fleabane","ks_priv022_v1_y2024"
"priv022","ks_priv022","ks",5,20,2024,1,"KM","Melilotus","officinalis","flowers",40,"4","10","none","yellowsweetclover","ks_priv022_v1_y2024"
"priv022","ks_priv022","ks",5,20,2024,1,"KM","Asclepias","viridis","flowers",15,"3","5","none","greenantelopehorn","ks_priv022_v1_y2024"
"priv027","ks_priv027","ks",5,21,2024,1,"SG","Alliaria","petiolata","flowers",14,"7","2","Ohlde's 1st point, left BVT 
39°34'5""N, 96°56'52""W","garlicmustard","ks_priv027_v1_y2024"
"priv028","ks_priv028","ks",5,21,2024,1,"SG","none","none","none",0,"0","0","none","none","ks_priv028_v1_y2024"
"priv026","ks_priv026","ks",5,21,2024,1,"KM","Oenothera","sp.","flowers",4,"4","1","pic on karas phone 1300","yellowsundrop","ks_priv026_v1_y2024"
"priv026","ks_priv026","ks",5,21,2024,1,"KM","Erigeron","annuus","flowers",5,"5","1","none","daisy fleabane","ks_priv026_v1_y2024"
"priv026","ks_priv026","ks",5,21,2024,1,"KM","Sisyrinchium","albidum","flowers",5,"5","1","none","whiteblue-eyedgrass","ks_priv026_v1_y2024"
"priv026","ks_priv026","ks",5,21,2024,1,"KM","Oxalis","dillenii","flowers",2,"2","1","none","slenderyellowwoodsorrel","ks_priv026_v1_y2024"
"priv029","ks_priv029","ks",5,21,2024,1,"SG","Sisyrinchium","albidum","flowers",1,"1","1","pic on skylar's phone13:44","whiteblue-eyedgrass","ks_priv029_v1_y2024"
"priv029","ks_priv029","ks",5,21,2024,1,"SG","Physalis","virginiana","flowers",1,"1","1","pic on skylar's phone13:46","groundcherries","ks_priv029_v1_y2024"
"priv030","ks_priv030","ks",5,21,2024,1,"KM","Medicago","lupulina","flowers",5,"1","5","none","black medic","ks_priv030_v1_y2024"
"priv030","ks_priv030","ks",5,21,2024,1,"KM","Turritus","glabra","flowers",1,"1","2","none","towermustard","ks_priv030_v1_y2024"
"priv031","ks_priv031","ks",5,21,2024,1,"KM","Sisyrinchium","albidum","flowers",1,"1","1","none","whiteblue-eyedgrass","ks_priv031_v1_y2024"
"priv031","ks_priv031","ks",5,21,2024,1,"KM","Erigeron","annuus","flowers",1,"4","1","none","daisy fleabane","ks_priv031_v1_y2024"
"priv032","ks_priv032","ks",5,21,2024,1,"SG","Achillea","millefolium","flowers",30,"2","15","past pond @ Ohlde's property","common yarrow","ks_priv032_v1_y2024"
"priv023","ks_priv023","ks",5,22,2024,1,"KM","Galium","aparine","flowers",72,"12","6","none","catchweed bedstraw","ks_priv023_v1_y2024"
"priv023","ks_priv023","ks",5,22,2024,1,"KM","Oxalis","dillenii","flowers",3,"3","1","none","slenderyellowwoodsorrel","ks_priv023_v1_y2024"
"priv023","ks_priv023","ks",5,22,2024,1,"KM","Hypericum","perforatum","flowers",1,"1","1","none","common st. john's-wort","ks_priv023_v1_y2024"
"priv023","ks_priv023","ks",5,22,2024,1,"KM","Achillea","millefolium","flowers",90,"3","30","none","common yarrow","ks_priv023_v1_y2024"
"priv023","ks_priv023","ks",5,22,2024,1,"KM","Psoralidium","tenuiflorum","flowers",8,"4","2","none","slimflowerscurfpea","ks_priv023_v1_y2024"
"priv024","ks_priv024","ks",5,22,2024,1,"KM","Achillea","millefolium","flowers",15,"1","15","none","common yarrow","ks_priv024_v1_y2024"
"priv024","ks_priv024","ks",5,22,2024,1,"KM","Melilotus","officinalis","flowers",210,"21","10","none","yellowsweetclover","ks_priv024_v1_y2024"
"priv024","ks_priv024","ks",5,22,2024,1,"KM","Asclepias","viridis","flowers",2,"1","2","none","greenantelopehorn","ks_priv024_v1_y2024"
"priv024","ks_priv024","ks",5,22,2024,1,"KM","Asclepias","viridis","flowers",21,"3","7","none","greenantelopehorn","ks_priv024_v1_y2024"
"priv024","ks_priv024","ks",5,22,2024,1,"KM","Lepidium","densiflorum","flowers",20,"2","10","pic on karas phone 1037","prairiepeppergrass","ks_priv024_v1_y2024"
"priv024","ks_priv024","ks",5,22,2024,1,"KM","Convolvulus","arvensis","flowers",6,"6","1","none","fieldbindweed","ks_priv024_v1_y2024"
