"short_point_id","full_point_id","state","month","day","year","visit","observer","genus","species","flowers_or_inflorescences","flowers","stems","flowers_per_stem","Notes.Photos","common_name","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8"
"priv019","ks_priv019","ks",5,20,2024,1,"KM","Medicago","lupulina","flowers",135,9,15,"none","black medic","",NA,NA,NA,NA,NA,NA,NA,NA
"priv019","ks_priv019","ks",5,20,2024,1,"KM","Sisyrinchium","albidum","flowers",2,2,1,"none","whiteblue-eyedgrass","",NA,NA,NA,NA,NA,NA,NA,NA
"priv019","ks_priv019","ks",5,20,2024,1,"KM","Callirhoe","alcaeoides","flowers",1,1,1,"none","lightpoppymallow","",NA,NA,NA,NA,NA,NA,NA,NA
"priv019","ks_priv019","ks",5,20,2024,1,"KM","Thlaspi","arvense","flowers",80,4,20,"pic on karas phone 1623","fieldpennycress","",NA,NA,NA,NA,NA,NA,NA,NA
"priv019","ks_priv019","ks",5,20,2024,1,"KM","Descurainia","pinnata","flowers",60,6,10,"pic on karas phone 1626","westerntansymustard","",NA,NA,NA,NA,NA,NA,NA,NA
"priv019","ks_priv019","ks",5,20,2024,1,"KM","Ellisia","nyctelea","flowers",3,3,1,"video Kara's phone 1629","aunt lucy","",NA,NA,NA,NA,NA,NA,NA,NA
"priv020","ks_priv020","ks",5,20,2024,1,"KM","Medicago","lupulina","flowers",540,27,20,"none","black medic","",NA,NA,NA,NA,NA,NA,NA,NA
"priv020","ks_priv020","ks",5,20,2024,1,"KM","Astralagus","sp.","flowers",10,2,5,"pic on karas phone 1545","legume","",NA,NA,NA,NA,NA,NA,NA,NA
"priv021","ks_priv021","ks",5,20,2024,1,"KM","Callirhoe","alcaeoides","flowers",8,8,1,"none","lightpoppymallow","",NA,NA,NA,NA,NA,NA,NA,NA
"priv021","ks_priv021","ks",5,20,2024,1,"KM","Baptisia","australis","flowers",30,3,10,"none","tallbluewildindigo","",NA,NA,NA,NA,NA,NA,NA,NA
"priv022","ks_priv022","ks",5,20,2024,1,"KM","Convolvulus","arvensis","flowers",4,2,2,"none","fieldbindweed","",NA,NA,NA,NA,NA,NA,NA,NA
"priv022","ks_priv022","ks",5,20,2024,1,"KM","Medicago","lupulina","flowers",1540,77,20,"none","black medic","",NA,NA,NA,NA,NA,NA,NA,NA
"priv022","ks_priv022","ks",5,20,2024,1,"KM","Achillea","millefolium","flowers",570,19,30,"none","common yarrow","",NA,NA,NA,NA,NA,NA,NA,NA
"priv022","ks_priv022","ks",5,20,2024,1,"KM","Erigeron","annuus","flowers",1,1,1,"none","daisy fleabane","",NA,NA,NA,NA,NA,NA,NA,NA
"priv022","ks_priv022","ks",5,20,2024,1,"KM","MeliLotus","officinalis","flowers",40,4,10,"none","yellowsweetclover","",NA,NA,NA,NA,NA,NA,NA,NA
"priv022","ks_priv022","ks",5,20,2024,1,"KM","Asclepias","viridis","flowers",15,3,5,"none","greenantelopehorn","",NA,NA,NA,NA,NA,NA,NA,NA
"priv027","ks_priv027","ks",5,21,2024,1,"SG","Alliaria","petiolata","flowers",14,7,2,"Ohlde's 1st point, left BVT 
39°34'5""N, 96°56'52""W","garlicmustard","",NA,NA,NA,NA,NA,NA,NA,NA
"priv028","ks_priv028","ks",5,21,2024,1,"SG","none","none","none",0,0,0,"none","none","",NA,NA,NA,NA,NA,NA,NA,NA
"priv026","ks_priv026","ks",5,21,2024,1,"KM","Oenothera","sp.","flowers",4,4,1,"pic on karas phone 1300","yellowsundrop","",NA,NA,NA,NA,NA,NA,NA,NA
"priv026","ks_priv026","ks",5,21,2024,1,"KM","Erigeron","annuus","flowers",5,5,1,"none","daisy fleabane","",NA,NA,NA,NA,NA,NA,NA,NA
"priv026","ks_priv026","ks",5,21,2024,1,"KM","Sisyrinchium","albidum","flowers",5,5,1,"none","whiteblue-eyedgrass","",NA,NA,NA,NA,NA,NA,NA,NA
"priv026","ks_priv026","ks",5,21,2024,1,"KM","Oxalis","dillenii","flowers",2,2,1,"none","slenderyellowwoodsorrel","",NA,NA,NA,NA,NA,NA,NA,NA
"priv029","ks_priv029","ks",5,21,2024,1,"SG","Sisyrinchium","albidum","flowers",1,1,1,"pic on skylar's phone13:44","whiteblue-eyedgrass","",NA,NA,NA,NA,NA,NA,NA,NA
"priv029","ks_priv029","ks",5,21,2024,1,"SG","Physalis","virginiana","flowers",1,1,1,"pic on skylar's phone13:46","groundcherries","",NA,NA,NA,NA,NA,NA,NA,NA
"priv030","ks_priv030","ks",5,21,2024,1,"KM","Medicago ","lupulina","flowers",5,1,5,"none","black medic","",NA,NA,NA,NA,NA,NA,NA,NA
"priv030","ks_priv030","ks",5,21,2024,1,"KM","Turritus","glabra","flowers",1,1,2,"none","towermustard","",NA,NA,NA,NA,NA,NA,NA,NA
