"short_point_id","full_point_id","state","conservation_practice","treatment_status","month","day","year","visit","time","observer","temp_f","wind","cloud","morphospecies","distance","behavior","Associated.Vegetation","Identification.Notes","NOBO.Detected.","Notes","X...gray.columns.not.cleaned"
"priv022","ks_priv022","ks","prescribed_burning","ks",5,20,2024,1,1410,"SG",80,2,75,"BUTT",2.2,"F","none","","","",""
"priv022","ks_priv022","ks","prescribed_burning","ks",5,20,2024,1,1410,"SG",80,2,75,"BUTT",0.5,"F","none","","","",""
"priv022","ks_priv022","ks","prescribed_burning","ks",5,20,2024,1,1410,"SG",80,2,75,"BUTT",0.5,"N"," common yarrow","","","",""
"priv022","ks_priv022","ks","prescribed_burning","ks",5,20,2024,1,1410,"SG",80,2,75,"BB",0.25,"F","none","","","",""
"priv021","ks_priv021","ks","prescribed_burning","ks",5,20,2024,1,1512,"SG",82,4,100,"BUTT",3,"F","none","","","",""
"priv021","ks_priv021","ks","prescribed_burning","ks",5,20,2024,1,1512,"SG",82,4,100,"BUTT",4.25,"F","none","","","",""
"priv020","ks_priv020","ks","prescribed_burning","ks",5,20,2024,1,1540,"SG",83,4,100,"BUTT",3.5,"F","none","","","",""
"priv019","ks_priv019","ks","prescribed_burning","ks",5,20,2024,1,1617,"SG",83,2,75,"BUTT",0.75,"F","none","Red admiral","","",""
"priv019","ks_priv019","ks","prescribed_burning","ks",5,20,2024,1,1617,"SG",83,2,75,"BB",0.25,"F","none","","","",""
"priv027","ks_priv027","ks","prescribed_burning","ks",5,21,2024,1,1020,"KM",77,4,75,"HB",0.5,"F","none","","","",""
"priv027","ks_priv027","ks","prescribed_burning","ks",5,21,2024,1,1020,"KM",77,4,75,"BUTT",3.5,"R","none","","","",""
"priv024","ks_priv024","ks","prescribed_burning","ks",5,22,2024,1,1027,"SG",65,3,0,"BUTT",3.5,"R","none","","","",""
"priv024","ks_priv024","ks","prescribed_burning","ks",5,22,2024,1,1027,"SG",65,3,0,"BUTT",5.25,"F","none","","","",""
"priv024","ks_priv024","ks","prescribed_burning","ks",5,22,2024,1,1027,"SG",65,3,0,"BB",1,"N","none","","","",""
"priv024","ks_priv024","ks","prescribed_burning","ks",5,22,2024,1,1027,"SG",65,3,0,"BUTT",2.5,"N","none","","","",""
"priv023","ks_priv023","ks","prescribed_burning","ks",5,22,2024,1,1111,"SG",67,3,0,"BUTT",12,"F","none","blue Lycaenidae","","",""
"priv023","ks_priv023","ks","prescribed_burning","ks",5,22,2024,1,1111,"SG",67,3,0,"BUTT",0.1,"F","none","","","",""
