"short_point_id","full_point_id","state","conservation_practice","treatment_status","month","day","year","visit","time","observer","temp_f","wind","cloud","morphospecies","distance","behavior","Associated Vegetation","Identification Notes","NOBO Detected?","Notes","<- gray columns not cleaned","survey"
"priv022","ks_priv022","ks","prescribed_burning","pre",5,20,2024,1,1410,"SG",80,2,75,"BUTT","2.2000000000000002","F","none",NA,NA,NA,NA,"ks_priv022_v1_y2024"
"priv022","ks_priv022","ks","prescribed_burning","pre",5,20,2024,1,1410,"SG",80,2,75,"BUTT","0.5","F","none",NA,NA,NA,NA,"ks_priv022_v1_y2024"
"priv022","ks_priv022","ks","prescribed_burning","pre",5,20,2024,1,1410,"SG",80,2,75,"BUTT","0.5","N","common yarrow",NA,NA,NA,NA,"ks_priv022_v1_y2024"
"priv022","ks_priv022","ks","prescribed_burning","pre",5,20,2024,1,1410,"SG",80,2,75,"BB","0.25","F","none",NA,NA,NA,NA,"ks_priv022_v1_y2024"
"priv021","ks_priv021","ks","prescribed_burning","pre",5,20,2024,1,1512,"SG",82,4,100,"BUTT","3","F","none",NA,NA,NA,NA,"ks_priv021_v1_y2024"
"priv021","ks_priv021","ks","prescribed_burning","pre",5,20,2024,1,1512,"SG",82,4,100,"BUTT","4.25","F","none",NA,NA,NA,NA,"ks_priv021_v1_y2024"
"priv020","ks_priv020","ks","prescribed_burning","pre",5,20,2024,1,1540,"SG",83,4,100,"BUTT","3.5","F","none",NA,NA,NA,NA,"ks_priv020_v1_y2024"
"priv019","ks_priv019","ks","prescribed_burning","pre",5,20,2024,1,1617,"SG",83,2,75,"BUTT","0.75","F","none","Red admiral",NA,NA,NA,"ks_priv019_v1_y2024"
"priv019","ks_priv019","ks","prescribed_burning","pre",5,20,2024,1,1617,"SG",83,2,75,"BB","0.25","F","none",NA,NA,NA,NA,"ks_priv019_v1_y2024"
"priv027","ks_priv027","ks","prescribed_burning","pre",5,21,2024,1,1020,"KM",77,4,75,"HB","0.5","F","none",NA,NA,NA,NA,"ks_priv027_v1_y2024"
"priv027","ks_priv027","ks","prescribed_burning","pre",5,21,2024,1,1020,"KM",77,4,75,"BUTT","3.5","R","none",NA,NA,NA,NA,"ks_priv027_v1_y2024"
"priv024","ks_priv024","ks","prescribed_burning","pre",5,22,2024,1,1027,"SG",65,3,0,"BUTT","3.5","R","none",NA,NA,NA,NA,"ks_priv024_v1_y2024"
"priv024","ks_priv024","ks","prescribed_burning","pre",5,22,2024,1,1027,"SG",65,3,0,"BUTT","5.25","F","none",NA,NA,NA,NA,"ks_priv024_v1_y2024"
"priv024","ks_priv024","ks","prescribed_burning","pre",5,22,2024,1,1027,"SG",65,3,0,"BB","1","N","none",NA,NA,NA,NA,"ks_priv024_v1_y2024"
